Gene,Detection_Rate,Mean_Expression,Median_Expression
TM9SF3,1,3.75900770518802,3.79493566280354
TM9SF4,1,4.21735015543728,4.4535175792155
TMA16,1,2.65114382212091,2.81147103052984
TMA7,1,8.44493342071031,9.09101216897148
TMBIM1,1,5.08083543821213,5.41142624572647
TMBIM6,1,7.43263543226054,7.60191932079134
TMC1,0.90295358649789,0.255078061613738,0.176322772640463
TMC2,0.915611814345992,0.16655783804148,0.0976107966264223
TMC3,0.586497890295359,0.0252668989588439,0.0143552929770701
TMC4,1,1.48544306145857,1.38404980679516
TMC5,0.818565400843882,0.119628562019631,0.0565835283663675
TMC6,1,4.80184422077404,4.6667565918848
TMC7,1,1.57445395878222,1.49569516262407
TMC8,1,2.43607301562115,2.35895882583233
TMCC1,1,3.05840880206699,3.07210580048042
TMCC1-AS1,1,1.55059915269784,1.62760683812965
TMCC2,1,3.14668406442744,3.09592441999854
TMCC3,1,1.78411524550008,1.73984810269933
TMCO1,1,5.1472170207366,5.62819033461521
TMCO3,1,3.83101946343754,4.05311133645956
TMCO4,1,2.65637726011123,2.71369581484336
TMCO6,1,2.76018088392287,2.9297909977186
TMED1,1,4.99710748755458,5.31723170022261
TMED10,1,6.09228258910851,6.15360269614038
TMED2,1,4.98272608332142,5.14567745519564
TMED3,1,5.12316014198226,5.42256941086083
TMED4,1,5.15388662093756,5.37051305246041
TMED5,1,3.60083715605212,3.72900887033786
TMED6,0.970464135021097,0.529785825899166,0.485426827170242
TMED7,1,4.12462388638487,4.26002565596146
TMED7-TICAM2,0.687763713080169,0.373858001990927,0.20163386116965
TMED8,1,1.92527919932201,1.98913900736823
TMED9,1,6.47961909350021,6.73633427697511
TMEFF1,0.9957805907173,2.71403304923358,2.76765479823735
TMEFF2,0.991561181434599,2.37080685745614,2.39231742277876
TMEM100,0.9957805907173,2.81586519316279,2.68706068833989
TMEM101,1,4.12731003521218,4.32337006906127
TMEM102,1,1.93963577440048,1.94860084749336
TMEM104,1,3.19160011965384,3.33913738491959
TMEM105,0.59915611814346,0.0641388571171366,0.0143552929770701
TMEM106A,1,1.33664410630722,1.25701061820602
TMEM106B,1,2.9952681121361,3.00539998774259
TMEM106C,1,4.89809321424258,5.09845324630927
TMEM107,1,3.65292100150518,3.84498815668261
TMEM108,1,2.5403885587928,2.62993940943954
TMEM109,1,4.94665687341468,5.17352723812251
TMEM11,1,4.14327016020366,4.47378691161437
TMEM110,1,3.00426166532459,3.12763327972587
TMEM110-MUSTN1,0.9957805907173,1.38560728815232,1.37295209791183
TMEM114,0.645569620253165,0.514353563396253,0.22650852980868
TMEM115,1,4.72538038012309,4.99954908734095
TMEM116,1,2.6050260647945,2.62058641045188
TMEM117,1,1.90569775856571,2.04614178164472
TMEM119,1,3.09470047483511,3.07895134139482
TMEM120A,1,5.3242269621956,5.57984388621158
TMEM120B,1,2.43285189799096,2.49825086752783
TMEM121,1,3.97758610423556,4.17072627613155
TMEM123,1,4.40774723947797,4.6959938131099
TMEM125,0.953586497890295,1.97117366607102,1.47508488294878
TMEM126A,1,4.757287651584,5.2667865406949
TMEM126B,1,4.76288833021305,5.3387809438947
TMEM127,1,3.95206658368089,4.04526821513853
TMEM128,1,4.20378502630449,4.52042224852645
TMEM129,1,4.81441433162001,4.98458935036246
TMEM130,0.9957805907173,2.57112962071456,1.90303827011291
TMEM131,1,2.81772328690213,2.85399564717639
TMEM132A,1,7.26791935081842,7.6238083477264
TMEM132B,1,1.98913633645271,1.87184364850932
TMEM132C,0.991561181434599,1.44050998770508,1.27500704749987
TMEM132D,0.89873417721519,0.497554261522975,0.0976107966264223
TMEM132E,1,3.01545418530325,3.04614178164472
