Gene,Detection_Rate,Mean_Expression,Median_Expression
PRPF19,1,5.26236716453564,5.3058665874057
TMEM109,1,4.77240721356869,4.88551309305223
CCKBR,0.958955223880597,0.399270510023171,0.182998953059228
HPX,1,0.549716833365924,0.485063898083139
TRIM3,1,2.03585344093225,2.02533000541396
CHORDC1,1,1.62846235400755,1.60226206608248
FOLR1,1,1.57746346395952,1.38377162122796
ANAPC15,1,1.38302017914044,1.37928809647743
FOLR3,0.944029850746269,0.263285415801044,0.181929387240826
PANX1,1,3.40905272874601,3.31885529040426
ARHGEF17,1,3.25089954650226,3.3023043304304
CEP164,1,2.06159580129915,2.02853378075694
RNF141,1,3.69668745037325,3.76984563169648
CEP126,1,0.880001002244358,0.771166075807982
EIF4G2,1,6.69452979171967,6.69811222045979
IL10RA,1,2.54078761586917,2.50652404910122
GALNT18,1,2.81478290902124,2.86723462482358
BIRC2,1,4.0397043976315,4.01375667508482
UBE4A,1,3.26964912854889,3.23210710787991
DDX6,1,4.17131478816034,4.104725668102
UPK2,0.955223880597015,0.416776943180873,0.353773951052981
CBL,1,2.89727844795604,2.87957766783808
NECTIN1,1,2.32024911060784,2.28224459846614
HIPK3,1,3.81094393600704,3.53794850913893
KIAA1549L,1,1.662781529061,1.59371200736165
FBXO3,1,2.31858591488699,2.32019491423165
PDHX,1,3.34258669431574,3.30961992137914
SLC1A2,1,4.35461651140103,4.33697211605702
COMMD9,1,3.36259724303653,3.35780515518035
SLC15A3,1,2.37249035673374,2.32903233246002
CD5,1,0.551947446556267,0.484446748389865
ACCS,1,1.63189864581957,1.60664449706044
MDK,1,5.37870298344342,5.45201863877167
AMBRA1,1,3.01149159787268,3.00584008298131
MADD,1,3.30400368089612,3.32409029050049
PTPMT1,1,1.27074361829333,1.25304927809831
NAA40,1,3.07542446251237,3.12742395379367
CARS1,1,2.86983724701817,2.87094206002951
SLC22A18,1,1.39563313706577,1.29859873363217
CD81,1,6.50401780353332,6.61038533252454
SLC35F2,1,2.89106564066384,2.9427392348969
ELMOD1,1,2.25372862758028,2.28907406692412
CALCA,0.73134328358209,0.0715063238023778,0.032171373354599
SOX6,1,2.0587633349291,2.06893369474363
PITPNM1,1,2.79414473937927,2.79355791423537
AIP,1,5.07723819327276,5.06568813557697
NUP98,1,3.51903327816903,3.45231870292432
NDUFS8,1,4.25572661990397,4.31027322989086
TCIRG1,1,3.1544135616735,3.15800515291818
CHKA,1,2.85722112924578,2.88255142855409
EXPH5,1,0.69812569127185,0.517073233565906
HPS5,1,3.00325218153424,2.98550890096876
GTF2H1,1,2.97738126643611,2.97148177801541
